Tech|meters|Feedertype|att_dB
L2600|33|5/4|1.85
L2600|34|5/4|1.90
L2600|35|5/4|1.95
L2600|36|5/4|2.00
L2600|37|5/4|2.05
L2600|38|5/4|2.10
L2600|39|5/4|2.15
L2600|40|5/4|2.20
L2600|41|5/4|2.25
L2600|42|5/4|2.30
L2600|43|5/4|2.35
L2600|44|5/4|2.40
L2600|45|5/4|2.45
L2600|46|5/4|2.50
L2600|47|5/4|2.55
L2600|48|5/4|2.60
L2600|49|5/4|2.65
L2600|50|5/4|2.70
L2600|51|5/4|2.75
L2600|52|5/4|2.80
L2600|53|5/4|2.85
L2600|54|5/4|2.90
L2600|55|5/4|2.95
L2600|56|5/4|3.00
L2600|57|5/4|3.05
L2600|58|5/4|3.10
L2600|59|5/4|3.15
L2600|60|5/4|3.20
L2600|61|5/4|3.25
L2600|62|5/4|3.30
L2600|63|5/4|3.35
L2600|64|5/4|3.40
L2600|65|5/4|3.45
L2600|66|5/4|3.50
L2600|67|5/4|3.55
L2600|68|5/4|3.60
L2600|69|5/4|3.65
L2600|70|5/4|3.70
L2600|71|5/4|3.75
L2600|72|5/4|3.80
L2600|73|5/4|3.85
L2600|74|5/4|3.90
L2600|75|5/4|3.95
L2600|76|5/4|4.00
L2600|77|5/4|4.05
L2600|78|5/4|4.10
L2600|79|5/4|4.15
L2600|80|5/4|4.20
L2600|81|5/4|4.25
L2600|82|5/4|4.30
L2600|83|5/4|4.35
L2600|84|5/4|4.40
L2600|85|5/4|4.45
L2600|86|5/4|4.50
L2600|87|5/4|4.55
L2600|88|5/4|4.60
L2600|89|5/4|4.65
L2600|90|5/4|4.70
